Date,Open,High,Low,Close,Volume
1983-05-02,118.6129,118.6129,118.6129,118.6129,0
1983-05-03,118.5992,118.5992,118.5992,118.5992,0
1983-05-04,118.2368,118.2368,118.2368,118.2368,0
1983-05-05,118.016,118.016,118.016,118.016,0
1983-05-06,118.0015,118.0015,118.0015,118.0015,0
1983-05-09,117.6732,117.6732,117.6732,117.6732,0
1983-05-10,117.7954,117.7954,117.7954,117.7954,0
1983-05-11,117.3636,117.3636,117.3636,117.3636,0
1983-05-12,117.5039,117.5039,117.5039,117.5039,0
1983-05-13,117.5462,117.5462,117.5462,117.5462,0
1983-05-16,118.1793,118.1793,118.1793,118.1793,0
1983-05-17,118.2917,118.2917,118.2917,118.2917,0
1983-05-18,118.1533,118.1533,118.1533,118.1533,0
1983-05-19,118.7465,118.7465,118.7465,118.7465,0
1983-05-20,118.6783,118.6783,118.6783,118.6783,0
1983-05-23,119.0081,119.0081,119.0081,119.0081,0
1983-05-24,119.187,119.187,119.187,119.187,0
1983-05-25,118.8836,118.8836,118.8836,118.8836,0
1983-05-26,118.8891,118.8891,118.8891,118.8891,0
1983-05-27,119.2881,119.2881,119.2881,119.2881,0
1983-05-31,119.5606,119.5606,119.5606,119.5606,0
1983-06-01,120.1437,120.1437,120.1437,120.1437,0
1983-06-02,119.8619,119.8619,119.8619,119.8619,0
1983-06-03,120.1966,120.1966,120.1966,120.1966,0
1983-06-06,120.6525,120.6525,120.6525,120.6525,0
1983-06-07,120.7803,120.7803,120.7803,120.7803,0
1983-06-08,120.97,120.97,120.97,120.97,0
1983-06-09,121.0003,121.0003,121.0003,121.0003,0
1983-06-10,120.8731,120.8731,120.8731,120.8731,0
1983-06-13,121.0401,121.0401,121.0401,121.0401,0
1983-06-14,121.5625,121.5625,121.5625,121.5625,0
1983-06-15,121.5599,121.5599,121.5599,121.5599,0
1983-06-16,121.0029,121.0029,121.0029,121.0029,0
1983-06-17,120.9036,120.9036,120.9036,120.9036,0
1983-06-20,120.5857,120.5857,120.5857,120.5857,0
1983-06-21,120.6578,120.6578,120.6578,120.6578,0
1983-06-22,119.9154,119.9154,119.9154,119.9154,0
1983-06-23,120.0081,120.0081,120.0081,120.0081,0
1983-06-24,119.9827,119.9827,119.9827,119.9827,0
1983-06-27,120.3599,120.3599,120.3599,120.3599,0
1983-06-28,120.445,120.445,120.445,120.445,0
1983-06-29,120.5995,120.5995,120.5995,120.5995,0
1983-06-30,120.4591,120.4591,120.4591,120.4591,0
1983-07-01,120.4531,120.4531,120.4531,120.4531,0
1983-07-05,121.1978,121.1978,121.1978,121.1978,0
1983-07-06,120.9363,120.9363,120.9363,120.9363,0
1983-07-07,121.258,121.258,121.258,121.258,0
1983-07-08,121.3104,121.3104,121.3104,121.3104,0
1983-07-11,121.5288,121.5288,121.5288,121.5288,0
1983-07-12,121.4397,121.4397,121.4397,121.4397,0
1983-07-13,121.3042,121.3042,121.3042,121.3042,0
1983-07-14,121.2766,121.2766,121.2766,121.2766,0
1983-07-15,121.8767,121.8767,121.8767,121.8767,0
1983-07-18,121.7094,121.7094,121.7094,121.7094,0
1983-07-19,121.6633,121.6633,121.6633,121.6633,0
1983-07-20,121.1443,121.1443,121.1443,121.1443,0
1983-07-21,121.2456,121.2456,121.2456,121.2456,0
1983-07-22,121.5398,121.5398,121.5398,121.5398,0
1983-07-25,121.7682,121.7682,121.7682,121.7682,0
1983-07-26,121.7653,121.7653,121.7653,121.7653,0
1983-07-27,121.9774,121.9774,121.9774,121.9774,0
1983-07-28,122.0141,122.0141,122.0141,122.0141,0
1983-07-29,122.5051,122.5051,122.5051,122.5051,0
